1,21st Centuray ( Ndls ),"Khasra No.351, Rishi Complex, Near Sultanpur Metro Station, New Delhi - 110030, Pawan_malhotra@xxicentury.Com",,07AAAPM6491M1Z9,Delhi,Delhi,,Mr. Pawan Malhotra,9810200232,,Pawan_malhotra@xxicentury.com,
2,3D Creation (Ggn),"736, Pace City, Gurgaon-122001.",,06AAAFZ4962A1ZC,Gurgaon,Haryana,122001,Mr. Rajender Mishra,,9958438694,,
3,4 S Logistics / Pee Empro Exports,Faridabad,,,Faridabad,Haryana,,,,,,
4,5 Elements,"F-419, Sector-63, Noida, 8375833818, 9990482168",,,Noida,Uttar Pradesh,,,,,,
5,8 V Shoes (Bom),"Mathura Industrial Estate, 2nd Floor,, KT Ind. Park, Phase-1, Mumbai-401208",AABFZ3711G,27AABFZ3711G1ZA,Mumbai,Maharashtra,401208,Mr. Sanjay,,8291984168,8vshoes@gmail.com,
6,A 1 Enterprises,"28/28, New Street, Kilpatti Post, Gudiyatham,, Vellor Dist,",,,Gudiyattam,Tamil Nadu,635805,,,,,
7,A 2 Leather (Hwh),"10/1/1A, Topsia Road, South Kolkata-700046",AANFA2682H,19AANFA2682H1Z6,Kolkata,West Bengal,,Mr. Mir,,9874401505/9748860463,atcalcutta@vsnl.net,
8,Aa,"231/ F,  Greather Kailash -          Ph#29231431",,,Delhi,Delhi,,,,,,
9,Aaa,"53-B Rani Jhansi Road, Opp Jhandewalan Mandir , Phone:09312980542",,,Delhi,Delhi,,,,,,
10,A & A Accessories (Noida),"E-39, Sector-8,, Noida",,,Noida,Uttar Pradesh,201301,,,911202443344/2424838/2424839,,
11,Aaas International (Del),"A-215, Phase I, Okhla Industrial Area, , Ph#Mr. Aslam -08010029990",,,Delhi,Delhi,,,,,,
12,Aaas International ( N Delhi ),"A-215, Phase I, Okhla Industrial Area,    Ph#Mr. Aslam -08010029990",,,Delhi,Delhi,,,,,,
13,Aadam & Sons,"Chrompet, Chennai",,,Chennai,Tamil Nadu,,,,9791009828,,
14,A & A Designs (Noida),"B-116 Sector-88  Noida, Uttar Pardesh 201301",,09BTJPA2256H1ZS,Noida,Uttar Pradesh,201301,,,9971609266,,
15,Aadi Fashion (Noida),"B-29 Udyog Kendra-1 Ecotech-III,, Greater Noida-201306, Uttar Pradesh,, Ph. +(91)- 9810035715 , 09840548678",,09AALFA0778N1ZV,Noida,Uttar Pradesh,,,,,,
16,A & A Exim (Hwh),"23A  Golam Jilani Khan Road, Kolkata",,19ABIFA2826M1Z4,Kolkata,West Bengal,700039,,,,,
17,Aafiya Creation,"Oomer Road , Ambur.",,,Ambur,Tamil Nadu,,,,,,
18,Aafiya Impex,Vaniyambadi,,,Vaniyambadi,Tamil Nadu,,,,,,
19,Aafiya International,,,,Ambur,Tamil Nadu,,,,,,
20,Aakhil Traders,"No-67/1, Kandrampalli Road, Thuthipet,, Ambur",,33AYCPA7435RIZ7,Ambur,Tamil Nadu,635811,,,,,
21,Aakif Leathers Exports,Vaniyambadi.,,,Vaniyambadi,Tamil Nadu,,,,,,
22,A&A Leather Creations,"Plot No: 53, 54 & 55, First Floor, WIP Sidco Industrial Area, Thirumudivakkam, Chennai",,33ABAFA6376J1ZF,Chennai,Tamil Nadu,600044,Mr. Avinash,,,avinash@bableather.com,chennai@graciousexpress.com
23,Aalee India Exports Pvt Ltd (Cnb),"563-A, Muir Road Meerpur Cantt, Kanpur, Uttar Pradesh",,09AAHCA0470A1Z7,kanpur,Uttar Pradesh,,,,8853992255,asif@aaleeindia.in,
24,Aamoda Broadcasting Company Pvt Ltd (Hyd),,,,Hyderabad,Telangana,,,,,,
25,AA Puiltex India,,,,Bangalore,Karnataka,,,,,,
26,Aaqib Tannery (Hwh),"1/2, Mrigendra Lalmitra Road, Parkcircus  Kolkata",,19AABFT9212A1ZH,Kolkata,West Bengal,700017,,,,,
27,Aariz Enterprises (Bom),"Mahalaxmi Mall Office No 69 1st Floor, Sector 35 Kamothe, Kamothe, Navi Mumbai - 410206",,,Mumbai,Maharashtra,410206,,,8450906333,,
28,Aarti Ads & Gifts (Ndls),"F-116, 4th Floor, Mohan Garden,, Uttam Nagar, -110059, 9654225315, Tin-07450294862",,,Delhi,Delhi,110059,,,,,
29,Aaryan International,Noida,,,Noida,Uttar Pradesh,,,,,,
30,Aasif Bhai,,,,Kanpur,Uttar Pradesh,,,,,,
31,Aayan Metal Works (Hwh),"31- Topsia Road, South-2, Kolkata",,,Kolkata,West Bengal,,,,,,
32,ABA Technologies (Ndls),"2978/12 Ranjit Nagar,, New Delhi",,07ABBFA2758B1ZW,Delhi,Delhi,110008,,,9971709977,,
33,ABC Leathers (Ggn),"875, Phase-V, Udyog Vihar, Gurgaon, Haryana",AAAFA4258Q,06AAAFA4258Q1Z7,Gurgaon,Haryana,,Mr. Yogesh Sharma,0124-4796806,,yogesh@abcleathers.com,
34,Abdul Aleem (Ndls),"B-3 Nizamuddin West, New Delhi-110013",,,Delhi,Delhi,110013,,,9891456306,,
35,Abdullah Brothers,,,,Agra,Uttar Pradesh,,,,,,
36,Abdullah Leather (Cnb),"44/02, Nai Sadak, Chowbey Gola,, Kanpur-208001",,09FSGPS3488K1ZS,kanpur,Uttar Pradesh,208001,,,9829560580/8299760187,,
37,Abdul Maalik Job Work,,,,Delhi,Delhi,,,,,,
38,Abdul Malik ( N Delhi ),,,,Delhi,Delhi,,,,,,
39,Abexo Exports (Ggn),"581, Udyog Vihar, Phase-5, -122016, , 0124 234 6718/19/2397646, Abexo@abexiexoports.Com",,,Delhi,Haryana,122016,,,,,
40,AB Glosal,Ranipet,,,Delhi,Tamil Nadu,,,,,,
41,Abhinashi Lida Impex (Agc),Agra,,,Delhi,Uttar Pradesh,,,,,,
42,Abida Shoe Components,,,,Delhi,Tamil Nadu,,,,,,
43,Abid Midas ( Cnb ),", Cell : 9956121566",,,Delhi,Uttar Pradesh,,,,,,
44,Abid Midas International,", 09335666006",,,Delhi,Uttar Pradesh,,,,,,
45,Abinash Leather (Agc),", Uttar Pradesh",,,Delhi,Uttar Pradesh,,,,,,
46,Abito Kreations (Bom),"A/2, Unit No 29, Shah & Nahar,, Industrial Estate, S J Road, Lower Parel,, Mumbai - 400013, Near Sun Mill Compound,",,27ACUPA0371J1ZI,Delhi,Maharashtra,400013,,"022-24930031, 022-24930032","9819902584 ,98010708899",,
47,Abnashi Leather Store (Agc),"Block S-3, Shop No. 4 & 13,, Sanjay Palace,  - 282001, U. P., 09897633389",,,Delhi,Uttar Pradesh,282001,,,,,
48,Abnashi Lida Impex,,,,Delhi,Uttar Pradesh,,,,,,
